,Property.GFA...Self.Reported..ft_2.,Primary.Property.Type...Self.Selected,Weather.Normalized.Site.Energy.Use..kBtu.,Weather.Normalized.Site.Electricity..kWh.,Year.Built
335,167428,Multifamily Housing,16221102.5,1364749,1909
336,421211,Multifamily Housing,43266168.3,3782930.2,1971
337,118614,Multifamily Housing,9098656,1358508.6,2006
338,140398,Multifamily Housing,8864396.8,1128823.3,2009
339,172270,Multifamily Housing,12548188.6,988331.4,2003
340,190579,Multifamily Housing,17641605.3,968804.8,1967
341,136095,Multifamily Housing,17184167.8,2471015,1989
342,282969,Multifamily Housing,21177331.6,3647848.9,2003
343,59244,Multifamily Housing,3936760.2,782182,1910
344,100779,Multifamily Housing,6179608.1,395716.3,1925
345,184850,Multifamily Housing,21272148.8,2349245.7,2005
346,176493,Multifamily Housing,12850829.6,2250570.3,1913
347,199635,Multifamily Housing,17066566.7,1803353,1982
348,90260,Multifamily Housing,6830907.2,1043335.3,2007
349,59825,Multifamily Housing,4739848.7,201861.8,1916
350,158063,Multifamily Housing,9434108.7,1701857,2010
351,75705,Multifamily Housing,7775916.8,1119074,2005
352,112701,Multifamily Housing,9762022.2,465564.8,1962
353,98700,Multifamily Housing,8704037.6,399268.5,1928
354,292043,Multifamily Housing,43754476,2819885.7,1986
355,104740,Multifamily Housing,10767358.3,1313744.7,2001
356,65865,Multifamily Housing,5095066.5,432399.7,2005
357,176514,Multifamily Housing,23678401.3,4322024.5,2005
358,242953,Multifamily Housing,29048305,4320952.9,1982
359,265638,Multifamily Housing,27791314.6,2679592.9,2005
360,139328,Multifamily Housing,13377438.3,935767.9,2000
361,366124,Multifamily Housing,38994218.1,3946447.5,2009
362,92244,Multifamily Housing,8169425.3,567441.4,2000
363,92406,Multifamily Housing,7709298.8,476979.2,2000
364,92455,Multifamily Housing,8233796.4,551236.5,2000
365,64753,Multifamily Housing,6531706.3,441343.2,2000
366,68402,Multifamily Housing,6031858.5,432662,2000
367,157183,Multifamily Housing,13443366.8,481230.5,2000
368,53855,Multifamily Housing,6567601.7,64380.6,1923
369,102000,Multifamily Housing,4637165.4,214918,2000
370,53951,Multifamily Housing,9479002.2,1070410.2,1964
371,78100,Multifamily Housing,5983144.7,260430,1966
372,93105,Multifamily Housing,7595712.2,497331.5,2000
373,176627,Multifamily Housing,16464578.1,2083631.7,2003
374,68298,Multifamily Housing,7314958.8,288407.9,1951
375,55339,Multifamily Housing,5711206.8,738976.5,1986
376,62157,Multifamily Housing,4211752.1,323626.9,1938
377,685393,Multifamily Housing,79814399,2950724.3,1964
378,128250,Multifamily Housing,15996386.2,1652225,1966
379,147290,Multifamily Housing,11535829,594370.2,1936
380,154451,Multifamily Housing,10778074.5,972515.4,1961
381,404190,Multifamily Housing,46080016.3,3003292,1965
382,55590,Multifamily Housing,1467514.9,356257.7,1929
383,50820,Multifamily Housing,1130143.4,295533.5,1925
384,53250,Multifamily Housing,918201.9,243662.1,1925
385,65001,Multifamily Housing,7010272.3,209722.9,1929
386,62280,Multifamily Housing,9380468.6,606787.3,1900
387,52005,Multifamily Housing,2070462.7,313713.7,1900
388,70050,Multifamily Housing,3470539,525753.7,2013
389,58500,Multifamily Housing,5260337.8,228719.7,1926
390,88500,Multifamily Housing,3914493.3,293079.1,1960
391,87001,Multifamily Housing,7987072.8,361826.4,1927
392,91307,Multifamily Housing,7793800.6,1067138.5,2013
393,173646,Multifamily Housing,9166284.7,625625.4,1927
394,71005,Multifamily Housing,4431558,324295.4,1940
395,71005,Multifamily Housing,2951846.8,316579.3,1940
396,94844,Multifamily Housing,5440857.8,1594624,2003
397,53295,Multifamily Housing,3890255.2,187657.5,1906
398,132400,Office,18026023.9,2385151.3,1900
399,88277,Retail Store,7715897.3,1440558.2,1900
400,72000,Multifamily Housing,11101108.4,595678.2,1930
401,70000,Museum,630816,168000,1960
402,108283,Other - Mall,24493043,4739625.5,1981
403,177000,Hotel,6696764.8,1111589.2,2012
404,82544,Multifamily Housing,5034999.3,552033.6,1910
405,115461,Multifamily Housing,8660605.1,862615,1960
406,479000,Hospital (General Medical & Surgical),131184940,21393590.5,1931
407,96000,Senior Care Community,13637353,1975835.8,1993
408,25082,Medical Office,3945352.7,634471.5,2009
409,70650,Multifamily Housing,6484373.9,257725.3,1930
410,53133,Multifamily Housing,5494391.2,440482.2,2007
411,59690,Multifamily Housing,3767917.5,396075,2007
412,58350,Multifamily Housing,3310670.3,256434.1,2008
413,74779,Multifamily Housing,5161134.9,929846,1926
414,87174,Multifamily Housing,7692355.1,319970.7,1927
415,60800,Multifamily Housing,5203420.3,290389.1,1986
416,176933,Office,25590769.7,4457914.3,1946
417,69340,Multifamily Housing,5925180.7,455715.6,2012
418,88195,Multifamily Housing,8320504.9,532372.1,1961
419,105000,Office,6840617.5,907969,1973
420,41000,K-12 School,5853659,601215.1,1985
421,58000,Multifamily Housing,6117574.7,56889.2,1929
422,335249,Multifamily Housing,24810189.3,3057414.3,2007
423,67652,Multifamily Housing,8048272,258349.7,1925
424,64920,Multifamily Housing,3869573.5,197895.2,1929
425,149521,Multifamily Housing,13116815.5,722432.1,1966
426,149520,Multifamily Housing,13248454.5,645591.3,1965
427,149520,Multifamily Housing,4016120.3,688769.2,1966
428,149520,Multifamily Housing,11038508.5,615803.2,1966
429,149520,Multifamily Housing,12987398.1,867024.4,1966
430,191000,Office,19073773.5,2633056.2,1963
431,51800,Office,3425170.3,481102.6,1920
432,110200,Office,7674302.6,999466.9,1929
433,95490,Office,4758922.2,742297.3,1924
434,66073,Office,4273684.9,592563.2,1924
435,69125,Multifamily Housing,4779059.6,329762.8,1926
436,58720,Multifamily Housing,6624683,223639.4,1965
437,65600,Multifamily Housing,5462684.8,148605.3,1928
438,73620,Multifamily Housing,7219502,249512.5,1936
439,358200,Hotel,70359649.2,2495261.4,1992
440,64047,Multifamily Housing,5167179.1,283554.2,1910
441,86136,Multifamily Housing,8036077.8,530207.8,1953
442,90000,Distribution Center,7656730,1366456,1954
443,52000,Other - Lodging/Residential,2833429.4,189860.7,1906
444,62000,Manufacturing/Industrial Plant,3136007.4,293068.3,1970
445,71688,Self-Storage Facility,4030157.5,328938.6,1967
446,92850,Non-Refrigerated Warehouse,4357856.6,363605.5,1970
447,90900,Multifamily Housing,7652558.4,352544,1929
448,62500,Multifamily Housing,4598586.2,243883.2,1930
449,56190,Multifamily Housing,2953740.1,173367.4,1920
450,98149,Multifamily Housing,8379179.7,363001.8,1920
451,68178,Multifamily Housing,4814934.3,294232.9,1920
452,149450,Multifamily Housing,8435121.6,421061.8,1934
453,63132,Multifamily Housing,4587529.2,284626.9,1920
454,102068,Multifamily Housing,5764947,327712.9,1911
455,84037,Multifamily Housing,8357853.9,490090.1,1928
456,56652,Multifamily Housing,4773511.5,259308.7,1909
457,75852,Multifamily Housing,6237410.7,281985.2,1920
458,97137,Multifamily Housing,8554587.2,357111.1,1938
459,80500,Multifamily Housing,6704148.5,307258.8,1928
460,68994,Manufacturing/Industrial Plant,302477.5,88651.1,1952
461,59022,Non-Refrigerated Warehouse,2143180.2,546676.3,1962
462,62791,Outpatient Rehabilitation/Physical Therapy,7187172.3,903658.6,1992
463,80889,Multifamily Housing,7030794.5,352560.1,1933
464,107841,Multifamily Housing,9308074,375752.4,1928
465,125891,Multifamily Housing,12228183.6,592383.1,1962
466,56005,Multifamily Housing,4195961.8,194982.5,1915
467,52250,Retail Store,4923246.8,866606.1,1966
468,93000,Distribution Center,7746535.3,1157362.6,1960
469,62608,Parking,3126853.4,858313.6,2004
470,130435,Multifamily Housing,14264303.8,1103227.2,1926
471,121365,Multifamily Housing,6187453.9,1503777.8,2010
472,85442,Office,5950298.3,1329885.3,1900
473,53660,Distribution Center,2856856.3,731733.1,1920
474,60376,Distribution Center,2417213.9,158343,1950
475,52000,Multifamily Housing,4731078.8,240041.8,1961
476,127488,Multifamily Housing,16872383,815002.8,1966
477,164143,Multifamily Housing,15875278.7,858480.8,1952
478,148350,Multifamily Housing,9784266.5,1061587.2,1987
479,571382,Multifamily Housing,38123219.3,3011874.3,1960
480,355544,Multifamily Housing,19087718.8,3024314.4,2007
481,265406,Multifamily Housing,29586166.5,1495479.1,1975
482,927590,Multifamily Housing,61078920.3,3454088.7,1970
483,178213,Multifamily Housing,8483325.3,591746.2,1931
484,102456,Multifamily Housing,8435607.5,591746.2,1931
485,88160,Multifamily Housing,8434335.1,591746.2,1930
486,93993,Multifamily Housing,8389439.9,591746.2,1930
487,86144,Multifamily Housing,8363362.5,591746.2,1930
488,590371,Hospital (General Medical & Surgical),170037584.9,19366899.9,1978
489,77440,Multifamily Housing,6710707.8,423041,1956
490,79248,Multifamily Housing,6671092.7,423041,1956
491,82474,Multifamily Housing,7576005.9,293157.5,1920
492,82065,Multifamily Housing,4843261.8,380669.7,1938
493,57042,Multifamily Housing,4529643.3,273903,1941
494,149314,Multifamily Housing,12741650.9,778064.6,1931
495,130284,Multifamily Housing,12409282.1,431407.3,1943
496,58989,Multifamily Housing,12485697.1,204448.8,1949
497,210773,Multifamily Housing,14541323.8,789198.9,1929
498,470000,Retail Store,24032231.1,4112570.6,1960
499,1102735,Other - Entertainment/Public Assembly,138447084.3,26823920.2,1968
500,425000,Office,36827972.7,8272197.8,1986
501,54775,Multifamily Housing,1420048,276075.2,1954
502,102877,Multifamily Housing,6332565.9,714313.3,1986
503,95162,Multifamily Housing,8340582.1,1304839.1,1927
504,124528,Multifamily Housing,13983587.6,1759108.2,1926
